Date,Open,High,Low,Close,Volume
1-May-12,6.18,6.34,6.16,6.26,55625
30-Apr-12,6.25,6.35,6.15,6.25,57115
27-Apr-12,6.21,6.27,6.12,6.25,36060
26-Apr-12,6.22,6.40,6.10,6.17,86857
25-Apr-12,6.24,6.51,6.18,6.27,187910
24-Apr-12,6.41,6.47,6.11,6.17,118301
23-Apr-12,6.64,6.79,6.40,6.45,182121
20-Apr-12,6.72,7.21,6.68,6.71,326763
19-Apr-12,6.55,6.80,6.55,6.69,45230
18-Apr-12,6.63,6.76,6.56,6.59,44006
17-Apr-12,6.55,6.73,6.48,6.60,84691
16-Apr-12,6.65,6.75,6.42,6.50,126339
13-Apr-12,6.64,6.80,6.57,6.61,44411
12-Apr-12,6.59,6.85,6.50,6.72,166131
11-Apr-12,6.61,6.68,6.47,6.53,39181
10-Apr-12,6.45,6.74,6.40,6.52,81535
9-Apr-12,6.51,6.60,6.51,6.54,52663
5-Apr-12,6.57,6.94,6.55,6.58,126317
4-Apr-12,6.66,6.66,6.51,6.64,97430
3-Apr-12,6.76,6.82,6.65,6.69,39307
2-Apr-12,6.71,6.84,6.71,6.76,49286
30-Mar-12,6.80,6.85,6.70,6.81,63605
29-Mar-12,6.70,6.87,6.66,6.77,68498
28-Mar-12,6.82,6.93,6.62,6.74,92748
27-Mar-12,6.69,7.11,6.58,6.82,298763
26-Mar-12,6.85,6.88,6.71,6.73,86756
23-Mar-12,6.71,6.79,6.66,6.79,56389
22-Mar-12,6.72,6.80,6.70,6.74,56233
21-Mar-12,6.81,6.91,6.72,6.75,59369
20-Mar-12,6.95,6.97,6.75,6.80,91030
19-Mar-12,6.98,7.13,6.95,7.00,78131
16-Mar-12,6.96,7.10,6.86,7.10,144830
15-Mar-12,6.93,6.96,6.76,6.90,51362
14-Mar-12,6.95,7.00,6.71,6.85,98005
13-Mar-12,6.65,6.90,6.60,6.89,84027
12-Mar-12,6.83,6.91,6.65,6.68,53438
9-Mar-12,6.82,6.92,6.78,6.78,70383
8-Mar-12,6.88,6.88,6.51,6.82,115799
7-Mar-12,6.65,6.65,6.46,6.62,71121
6-Mar-12,6.92,6.92,6.40,6.54,306967
5-Mar-12,7.08,7.21,6.91,6.97,109221
2-Mar-12,6.86,7.48,6.86,7.13,375538
1-Mar-12,6.99,7.05,6.90,6.94,119946
29-Feb-12,7.15,7.35,6.91,6.92,154551
28-Feb-12,6.94,7.34,6.80,7.14,314811
27-Feb-12,7.00,7.10,6.92,6.93,85200
24-Feb-12,6.97,7.25,6.97,7.04,52092
23-Feb-12,7.04,7.07,6.87,7.04,150561
22-Feb-12,7.14,7.27,7.05,7.10,97898
21-Feb-12,7.29,7.31,7.11,7.15,105789
17-Feb-12,7.29,7.35,7.23,7.31,55844
16-Feb-12,7.22,7.30,7.11,7.29,56933
15-Feb-12,7.39,7.39,7.15,7.17,197459
14-Feb-12,7.43,7.45,7.26,7.33,78478
13-Feb-12,7.49,7.54,7.31,7.40,96404
10-Feb-12,7.50,7.50,7.35,7.39,126575
9-Feb-12,7.63,7.63,7.50,7.51,102391
8-Feb-12,7.66,7.66,7.50,7.56,97631
7-Feb-12,7.52,7.52,7.52,7.52,0
6-Feb-12,7.59,7.70,7.50,7.54,141084
3-Feb-12,7.89,7.89,7.89,7.89,0
2-Feb-12,7.52,7.73,7.49,7.60,164829
1-Feb-12,7.54,7.70,7.44,7.49,151600
